code,sector,currentPrice,dailyLiquidity,dividend,dividendYield,dividendYieldAnnual,priceVariation,pvp,physicalVacancy,financialVacancy
AAZQ11,,"R$ 9,70",53650.0,"R$ 0,15","1,58%","4,48%","-1,45%","1,01",N/A,N/A
ABCP11,Shoppings,"R$ 68,37",601.0,"R$ 0,50","0,78%","2,31%","-0,82%","0,75","7,50%",N/A
AFHI11,Títulos e Val. Mob.,"R$ 92,72",3645.0,"R$ 1,10","1,18%","3,42%","-1,21%","0,98",N/A,N/A
AGRX11,,"R$ 10,80",4539.0,"R$ 0,16","1,48%","4,72%","1,12%","1,05",N/A,N/A
AIEC11,Lajes Corporativas,"R$ 60,39",3711.0,"R$ 0,76","1,27%","2,76%","-2,70%","0,64","0,00%",N/A
ALMI11,Lajes Corporativas,"R$ 780,00",36.0,"R$ 0,00","0,00%","0,00%","2,27%","0,39","64,05%",N/A
ALZM11,Títulos e Val. Mob.,"R$ 84,00",1197.0,"R$ 0,85","1,03%","3,14%","-1,38%","0,87",N/A,N/A
ALZR11,Logística,"R$ 114,74",11821.0,"R$ 0,82","0,72%","2,18%","2,05%","1,07","0,00%",N/A
APTO11,Híbrido,"R$ 8,50",5035.0,"R$ 0,10","1,19%","3,57%","3,07%","0,85",N/A,N/A
ARCT11,,,,"R$ 0,39","0,44%","13,92%","-0,42%","0,87",N/A,N/A
ARRI11,Títulos e Val. Mob.,"R$ 8,18",54395.0,"R$ 0,11","1,24%","3,38%","-4,73%","0,92",N/A,N/A
ATSA11,Shoppings,"R$ 70,00",2.0,"R$ 0,05","0,07%","0,13%","0,00%","0,86","21,90%",N/A
BARI11,Títulos e Val. Mob.,"R$ 77,41",9337.0,"R$ 0,90","1,17%","3,23%","-8,15%","0,81",N/A,N/A
BBFI11B,Lajes Corporativas,"R$ 1.405,00",108.0,"R$ 27,09","1,91%","4,50%","-32,00%","0,49","39,11%",N/A
BBFO11,Títulos e Val. Mob.,"R$ 61,70",2689.0,"R$ 0,69","1,09%","3,35%","-4,26%","0,82",N/A,N/A
BBGO11,Títulos e Val. Mob.,"R$ 79,52",2014.0,"R$ 1,20","1,53%","3,70%","-1,72%","0,81",N/A,N/A
BBIM11,Títulos e Val. Mob.,N/A,N/A,"R$ 0,15","0,00%",N/A,"0,00%",N/A,N/A,N/A
BBPO11,Lajes Corporativas,"R$ 86,19",11317.0,"R$ 0,90","1,08%","3,22%","1,60%","0,86","0,00%","0,00%"
BBRC11,Outros,"R$ 93,20",792.0,"R$ 0,99","1,07%","3,15%","-2,50%","0,86","5,37%","1,08%"
BCFF11,Títulos e Val. Mob.,"R$ 66,69",36570.0,"R$ 0,56","0,90%","2,68%","-1,68%","0,88",N/A,N/A
BCIA11,Títulos e Val. Mob.,"R$ 85,15",6339.0,"R$ 0,78","0,97%","2,83%","-1,54%","0,89",N/A,N/A
BCRI11,Títulos e Val. Mob.,"R$ 68,55",12610.0,"R$ 0,86","1,17%","3,02%","-22,58%","0,69",N/A,N/A
BDIF11,Renda,"R$ 83,85",14884.0,"R$ 1,10","1,32%","1,32%","0,00%",N/A,N/A,N/A
BICE11,Títulos e Val. Mob.,"R$ 998,00",70.0,"R$ 10,00","1,00%","4,16%","2,46%","1,03",N/A,N/A
BICR11,Títulos e Val. Mob.,"R$ 98,59",10.0,"R$ 0,68","0,68%","2,21%","1,28%","0,99",N/A,N/A
BIDB11,Renda,"R$ 88,53",458.0,"R$ 1,30","1,49%","1,49%","0,00%",N/A,N/A,N/A
BIME11,,"R$ 6,95",28112.0,"R$ 0,09","1,34%","3,47%","-9,21%","0,78",N/A,N/A
BLCA11,Lajes Corporativas,"R$ 110,00",152.0,"R$ 0,57","0,52%","1,69%","-4,84%","0,79","0,00%",N/A
BLCP11,Outros,"R$ 91,00",123.0,"R$ 0,56","0,62%","5,31%","-0,54%","0,81","6,20%",N/A
BLMC11,Outros,"R$ 71,02",108.0,"R$ 0,90","1,21%","3,47%","1,26%","0,73",N/A,N/A
BLMG11,Logística,"R$ 62,69",4173.0,"R$ 0,76","1,24%","3,54%","-9,60%","0,68","0,00%","0,00%"
BLMO11,Lajes Corporativas,"R$ 20.999,00",1.0,"R$ 50,00","0,24%","0,48%","0,00%","0,63","0,00%",N/A
BLMR11,Títulos e Val. Mob.,"R$ 6,33",166679.0,"R$ 0,07","1,07%","3,14%","-1,61%","0,87",N/A,N/A
BMLC11,Lajes Corporativas,"R$ 100,24",102.0,"R$ 0,72","0,69%","2,01%","2,27%","0,92","7,00%",N/A
BNFS11,Outros,"R$ 111,39",665.0,"R$ 1,46","1,31%","3,49%","-7,94%","1,22","0,00%",N/A
BODB11,Renda,"R$ 9,70",26110.0,"R$ 0,11","1,12%","1,12%","0,00%",N/A,N/A,N/A
BPFF11,Títulos e Val. Mob.,"R$ 62,94",3391.0,"R$ 0,62","1,08%","3,04%","-6,18%","0,89",N/A,N/A
BPML11,Shoppings,"R$ 59,02",8.0,"R$ 0,27","0,46%","0,46%","0,00%","0,47","5,80%",N/A
BRCO11,Logística,"R$ 100,20",30225.0,"R$ 0,62","0,65%","1,96%","2,93%","0,83","0,00%","0,00%"
BRCR11,Híbrido,"R$ 55,05",19664.0,"R$ 0,46","0,87%","2,55%","-6,57%","0,55","21,00%","25,80%"
BREV11,Híbrido,"R$ 89,08",2.0,"R$ 0,64","0,70%","5,73%","-11,30%","0,76","0,00%",N/A
BRIP11,Híbrido,"R$ 909,00",9.0,"R$ 107,00","0,00%",N/A,"0,00%","0,94",N/A,N/A
BRLA11,Híbrido,"R$ 157,00",8.0,"R$ 1,10","0,73%","2,28%","8,03%","1,00",N/A,N/A
BTAL11,Outros,"R$ 87,25",8611.0,"R$ 0,83","0,92%","2,82%","4,75%","0,82",N/A,N/A
BTCR11,Títulos e Val. Mob.,"R$ 88,00",6663.0,"R$ 0,90","1,00%","11,59%","-6,19%","0,92",N/A,N/A
BTLG11,Logística,"R$ 95,43",40755.0,"R$ 0,74","0,76%","2,34%","3,52%","0,96",N/A,"2,00%"
BTRA11,Outros,"R$ 78,00",9467.0,"R$ 0,85","1,06%","3,31%","-4,74%","0,56",N/A,N/A
BTSG11,Híbrido,"R$ 101,00",810.0,"R$ 0,87","0,00%",N/A,"0,00%","0,73",N/A,N/A
BTSI11,Híbrido,N/A,N/A,"R$ 0,72","0,00%",N/A,"0,00%",N/A,N/A,N/A
BTWR11,Lajes Corporativas,"R$ 107,00",4.0,"R$ 0,47","0,44%","0,81%","0,00%","0,95","12,00%",N/A
BZLI11,Títulos e Val. Mob.,"R$ 19,78",514.0,"R$ 0,00","0,00%","0,00%","0,68%","1,84",N/A,N/A
CACR11,Híbrido,"R$ 103,10",5548.0,"R$ 1,44","1,39%","4,08%","-2,33%","0,99",N/A,N/A
CARE11,Híbrido,"R$ 1,89",36434.0,"R$ 0,00","0,23%","1,36%","-2,63%","0,23",N/A,N/A
CBOP11,Lajes Corporativas,"R$ 36,00",2567.0,"R$ 0,12","0,33%","0,87%","-15,61%","0,49","33,59%","30,79%"
CCME11,Outros,"R$ 95,84",10.0,"R$ 0,85","0,00%",N/A,"0,00%",N/A,N/A,N/A
CCRF11,Títulos e Val. Mob.,"R$ 83,00",32.0,"R$ 0,62","0,75%","2,98%","4,79%","0,85",N/A,N/A
CEOC11,Lajes Corporativas,"R$ 52,60",611.0,"R$ 0,65","1,18%","3,56%","2,84%","0,67","0,00%",N/A
CJCT11,Lajes Corporativas,"R$ 62,01",1897.0,"R$ 0,00",N/A,N/A,N/A,"0,95","59,00%",N/A
CNES11,Lajes Corporativas,"R$ 27,35",213.0,"R$ 0,08","0,27%","1,06%","-0,50%","0,31","56,70%",N/A
CORM11,Híbrido,"R$ 99,42",20270.0,"R$ 0,77","0,90%","6,20%","-2,97%","1,18",N/A,N/A
CPFF11,Híbrido,"R$ 60,10",1707.0,"R$ 0,40","0,70%","1,94%","-1,57%","0,76",N/A,N/A
CPTI11,Renda,"R$ 93,01",9310.0,"R$ 0,90","0,96%","0,96%","0,00%",N/A,N/A,N/A
CPTR11,,"R$ 95,00",18691.0,"R$ 1,45","1,52%","4,41%","-1,49%","0,96",N/A,N/A
CPTS11,Títulos e Val. Mob.,"R$ 75,40",61916.0,"R$ 0,71","0,93%","2,92%","0,14%","0,84",N/A,N/A
CRFF11,Títulos e Val. Mob.,"R$ 63,00",4.0,"R$ 0,61","1,02%","2,92%","-6,38%","0,78",N/A,N/A
CTXT11,Lajes Corporativas,"R$ 10,41",161.0,"R$ 0,09","0,39%","1,36%","-2,58%","0,31","97,00%",N/A
CVBI11,Títulos e Val. Mob.,"R$ 87,00",23510.0,"R$ 1,05","1,23%","3,60%","-4,06%","0,92",N/A,N/A
CXAG11,Outros,"R$ 76,21",503.0,"R$ 0,75","0,97%","2,91%","-0,90%","0,66",N/A,N/A
CXCE11B,Outros,"R$ 39,75",792.0,"R$ 0,42","1,08%","3,11%","-3,38%","0,61","0,00%",N/A
CXCI11,,"R$ 75,98",778.0,"R$ 0,83","1,10%","3,28%","-2,38%","0,86",N/A,N/A
CXCO11,Lajes Corporativas,"R$ 68,80",2110.0,"R$ 0,74","1,07%","2,82%","-1,60%","0,69",N/A,N/A
CXRI11,Híbrido,"R$ 61,64",17.0,"R$ 0,56","0,91%","2,72%","0,67%","0,77",N/A,N/A
CXTL11,Logística,"R$ 329,00",43.0,"R$ 1,70","0,41%","1,19%","-0,24%","0,71","61,00%",N/A
CYCR11,Títulos e Val. Mob.,"R$ 8,26",65381.0,"R$ 0,10","1,26%","3,61%","-2,70%","0,86",N/A,N/A
DCRA11,Títulos e Valores Mobiliários,"R$ 8,82",18226.0,"R$ 0,12","1,38%","3,91%","-5,34%","0,92",N/A,N/A
DEVA11,Títulos e Val. Mob.,"R$ 44,05",149988.0,"R$ 0,70","1,33%","3,73%","-32,49%","0,45",N/A,N/A
DRIT11B,Lajes Corporativas,"R$ 87,16",2.0,"R$ 0,85","0,97%","2,03%","1,62%","0,66","10,47%",N/A
DVFF11,Híbrido,"R$ 63,00",922.0,"R$ 0,70","1,12%","3,18%","-9,14%","0,72",N/A,N/A
EDFO11B,Lajes Corporativas,"R$ 199,45",1.0,"R$ 1,73","0,87%","2,56%","-1,00%","1,10","7,10%",N/A
EDGA11,Lajes Corporativas,"R$ 18,73",3816.0,"R$ 0,13","0,66%","1,93%","-1,80%","0,31","48,81%",N/A
EGAF11,,"R$ 100,93",11119.0,"R$ 1,54","1,55%","4,18%","-2,18%","1,02",N/A,N/A
EQIR11,Títulos e Val. Mob.,"R$ 8,53",3802.0,"R$ 0,11","1,25%","3,73%","-1,24%","0,87",N/A,N/A
ERCR11,Híbrido,"R$ 76.000,00",1.0,"R$ 2.594,24","0,00%",N/A,"0,00%","1,17",N/A,N/A
ERPA11,,"R$ 121,00",1400.0,"R$ 0,72","0,59%","1,70%","-0,79%","0,88",N/A,N/A
EURO11,Logística,"R$ 221,00",170.0,"R$ 1,87","0,82%","2,38%","-4,43%","0,68","0,00%",N/A
EVBI11,Híbrido,"R$ 93,95",409.0,"R$ 0,75","0,83%","2,42%","-3,72%","0,95","0,00%",N/A
FAED11,Outros,"R$ 141,00",489.0,"R$ 1,62","1,12%","3,37%","-1,31%","0,65","0,00%",N/A
FAMB11B,Lajes Corporativas,"R$ 756,00",16.0,"R$ 9,16","0,56%","8,82%","-47,80%","0,25","100,00%",N/A
FATN11,Híbrido,"R$ 93,70",478.0,"R$ 0,83","0,88%","2,62%","-0,79%","0,95","4,30%",N/A
